,reviewer,paper_id,decision,review
51,Krishna G. Kulkarni,394,Accepted,Original and insightful research.
52,Thomas Ludwig 0001,313,Accepted,Well researched and clearly presented.
53,Thomas Ludwig 0001,29097,Accepted,Well researched and clearly presented.
54,Thomas Ludwig 0001,28684,Accepted,Well researched and clearly presented.
55,Thomas Ludwig 0001,375,Accepted,Well researched and clearly presented.
56,Thomas Ludwig 0001,68,Accepted,Well researched and clearly presented.
57,Thomas Ludwig 0001,28926,Accepted,Well researched and clearly presented.
58,Thomas Ludwig 0001,471,Accepted,Well researched and clearly presented.
59,Thomas Ludwig 0001,28894,Accepted,Well researched and clearly presented.
60,Thomas Ludwig 0001,28945,Accepted,Well researched and clearly presented.
61,Thomas Ludwig 0001,170,Accepted,Well researched and clearly presented.
62,Thomas Ludwig 0001,28857,Accepted,Well researched and clearly presented.
63,Thomas Ludwig 0001,583,Accepted,Well researched and clearly presented.
64,Thomas Ludwig 0001,29064,Accepted,Well researched and clearly presented.
65,Thomas Ludwig 0001,143,Accepted,Well researched and clearly presented.
66,Thomas Ludwig 0001,281,Accepted,Well researched and clearly presented.
67,Thomas Ludwig 0001,300,Accepted,Well researched and clearly presented.
68,Thomas Ludwig 0001,165,Accepted,Well researched and clearly presented.
69,Thomas Ludwig 0001,28683,Accepted,Well researched and clearly presented.
70,Thomas Ludwig 0001,29025,Accepted,Well researched and clearly presented.
71,Thomas Ludwig 0001,144,Accepted,Well researched and clearly presented.
72,Thomas Ludwig 0001,262,Accepted,Well researched and clearly presented.
73,Thomas Ludwig 0001,28852,Accepted,Well researched and clearly presented.
74,Thomas Ludwig 0001,28927,Accepted,Well researched and clearly presented.
75,Thomas Ludwig 0001,28933,Accepted,Well researched and clearly presented.
76,Claus-Rainer Rollinger,28953,Rejected,Fundamental flaws in the study design.
77,Claus-Rainer Rollinger,58,Rejected,Fundamental flaws in the study design.
78,Claus-Rainer Rollinger,208,Rejected,Fundamental flaws in the study design.
79,Claus-Rainer Rollinger,331,Rejected,Fundamental flaws in the study design.
80,Claus-Rainer Rollinger,76,Rejected,Fundamental flaws in the study design.
81,Claus-Rainer Rollinger,28803,Rejected,Fundamental flaws in the study design.
82,Claus-Rainer Rollinger,29104,Rejected,Fundamental flaws in the study design.
83,Claus-Rainer Rollinger,177,Rejected,Fundamental flaws in the study design.
84,Claus-Rainer Rollinger,28760,Rejected,Fundamental flaws in the study design.
85,Claus-Rainer Rollinger,26,Rejected,Fundamental flaws in the study design.
86,Claus-Rainer Rollinger,294,Rejected,Fundamental flaws in the study design.
87,Claus-Rainer Rollinger,487,Rejected,Fundamental flaws in the study design.
88,Claus-Rainer Rollinger,15,Rejected,Fundamental flaws in the study design.
89,Claus-Rainer Rollinger,29058,Rejected,Fundamental flaws in the study design.
90,Claus-Rainer Rollinger,553,Rejected,Fundamental flaws in the study design.
91,Christoph Beierle,28909,Rejected,Inadequate data and sample size.
92,Christoph Beierle,451,Rejected,Inadequate data and sample size.
93,Christoph Beierle,28705,Rejected,Inadequate data and sample size.
94,Christoph Beierle,28865,Rejected,Inadequate data and sample size.
95,Christoph Beierle,135,Rejected,Inadequate data and sample size.
96,Christoph Beierle,407,Rejected,Inadequate data and sample size.
97,Christoph Beierle,475,Rejected,Inadequate data and sample size.
98,Christoph Beierle,28824,Rejected,Inadequate data and sample size.
99,Christoph Beierle,458,Rejected,Inadequate data and sample size.
100,Christoph Beierle,185,Rejected,Inadequate data and sample size.
101,Christoph Beierle,28849,Rejected,Inadequate data and sample size.
102,Christoph Beierle,491,Rejected,Inadequate data and sample size.
103,Christoph Beierle,28764,Rejected,Inadequate data and sample size.
104,Christoph Beierle,186,Rejected,Inadequate data and sample size.
105,Christoph Beierle,90,Rejected,Inadequate data and sample size.
106,Christoph Beierle,28700,Rejected,Inadequate data and sample size.
107,Christoph Beierle,28698,Rejected,Inadequate data and sample size.
108,Christoph Beierle,506,Rejected,Inadequate data and sample size.
109,Christoph Beierle,28927,Rejected,Inadequate data and sample size.
110,Christoph Beierle,371,Rejected,Inadequate data and sample size.
111,Christoph Beierle,77,Rejected,Inadequate data and sample size.
112,Christoph Beierle,28960,Rejected,Inadequate data and sample size.
113,Christoph Beierle,29041,Rejected,Inadequate data and sample size.
114,Christoph Beierle,27,Rejected,Inadequate data and sample size.
115,Christoph Beierle,49,Rejected,Inadequate data and sample size.
116,Christoph Beierle,28759,Rejected,Inadequate data and sample size.
117,Christoph Beierle,490,Rejected,Inadequate data and sample size.
118,Christoph Beierle,284,Rejected,Inadequate data and sample size.
119,Christoph Beierle,28724,Rejected,Inadequate data and sample size.
120,Christoph Beierle,28974,Rejected,Inadequate data and sample size.
121,Christoph Beierle,28740,Rejected,Inadequate data and sample size.
122,Christoph Beierle,29072,Rejected,Inadequate data and sample size.
123,Christoph Beierle,341,Rejected,Inadequate data and sample size.
124,Christoph Beierle,28808,Rejected,Inadequate data and sample size.
125,Christoph Beierle,549,Rejected,Inadequate data and sample size.
126,Christoph Beierle,28898,Rejected,Inadequate data and sample size.
127,Christoph Beierle,28771,Rejected,Inadequate data and sample size.
128,Christoph Beierle,23,Rejected,Inadequate data and sample size.
129,Christoph Beierle,349,Rejected,Inadequate data and sample size.
130,Hans Uszkoreit,29062,Accepted,Excellent methodology and analysis.
131,Hans Uszkoreit,28674,Accepted,Excellent methodology and analysis.
132,Hans Uszkoreit,28876,Accepted,Excellent methodology and analysis.
133,Hans Uszkoreit,29088,Accepted,Excellent methodology and analysis.
134,Udo Pletat,29038,Rejected,Weak argument and analysis.
135,Udo Pletat,28849,Rejected,Weak argument and analysis.
136,Udo Pletat,520,Rejected,Weak argument and analysis.
137,Udo Pletat,455,Rejected,Weak argument and analysis.
138,Udo Pletat,165,Rejected,Weak argument and analysis.
139,Udo Pletat,253,Rejected,Weak argument and analysis.
140,Udo Pletat,28934,Rejected,Weak argument and analysis.
141,Udo Pletat,434,Rejected,Weak argument and analysis.
142,Udo Pletat,11,Rejected,Weak argument and analysis.
143,Udo Pletat,28787,Rejected,Weak argument and analysis.
144,Udo Pletat,506,Rejected,Weak argument and analysis.
145,Udo Pletat,29080,Rejected,Weak argument and analysis.
146,Udo Pletat,52,Rejected,Weak argument and analysis.
147,Udo Pletat,28972,Rejected,Weak argument and analysis.
148,Udo Pletat,28923,Rejected,Weak argument and analysis.
149,Udo Pletat,290,Rejected,Weak argument and analysis.
150,Gert Smolka,436,Rejected,Unconvincing or unsupported conclusions.
151,Gert Smolka,28951,Rejected,Unconvincing or unsupported conclusions.
152,Gert Smolka,469,Rejected,Unconvincing or unsupported conclusions.
153,Gert Smolka,28916,Rejected,Unconvincing or unsupported conclusions.
154,Gert Smolka,473,Rejected,Unconvincing or unsupported conclusions.
155,Gert Smolka,483,Rejected,Unconvincing or unsupported conclusions.
156,Gert Smolka,195,Rejected,Unconvincing or unsupported conclusions.
157,Gert Smolka,29037,Rejected,Unconvincing or unsupported conclusions.
158,Gert Smolka,385,Rejected,Unconvincing or unsupported conclusions.
159,Markus Höhfeld,28955,Rejected,Insufficient research design and methodology.
160,Markus Höhfeld,32,Rejected,Insufficient research design and methodology.
161,Markus Höhfeld,29099,Rejected,Insufficient research design and methodology.
162,Birgit Wesche,279,Rejected,Limited relevance and significance.
163,Birgit Wesche,573,Rejected,Limited relevance and significance.
164,Birgit Wesche,28811,Rejected,Limited relevance and significance.
165,Birgit Wesche,28909,Rejected,Limited relevance and significance.
166,Birgit Wesche,548,Rejected,Limited relevance and significance.
167,Birgit Wesche,4,Rejected,Limited relevance and significance.
168,Birgit Wesche,29073,Rejected,Limited relevance and significance.
169,Birgit Wesche,28840,Rejected,Limited relevance and significance.
170,Christopher Habel,152,Rejected,Poorly written and difficult to understand.
171,Christopher Habel,501,Rejected,Poorly written and difficult to understand.
172,Christopher Habel,28770,Rejected,Poorly written and difficult to understand.
173,Christopher Habel,182,Rejected,Poorly written and difficult to understand.
174,Christopher Habel,28846,Rejected,Poorly written and difficult to understand.
175,Christopher Habel,29028,Rejected,Poorly written and difficult to understand.
176,Michael Ley,213,Rejected,Unconvincing or unsupported conclusions.
177,Michael Ley,28901,Rejected,Unconvincing or unsupported conclusions.
178,Michael Ley,210,Rejected,Unconvincing or unsupported conclusions.
179,Michael Ley,215,Rejected,Unconvincing or unsupported conclusions.
180,Michael Ley,315,Rejected,Unconvincing or unsupported conclusions.
181,Michael Ley,422,Rejected,Unconvincing or unsupported conclusions.
182,Michael Ley,291,Rejected,Unconvincing or unsupported conclusions.
183,Michael Ley,28827,Rejected,Unconvincing or unsupported conclusions.
184,Michael Ley,522,Rejected,Unconvincing or unsupported conclusions.
185,Michael Ley,428,Rejected,Unconvincing or unsupported conclusions.
186,Michael Ley,28848,Rejected,Unconvincing or unsupported conclusions.
187,Michael Ley,28754,Rejected,Unconvincing or unsupported conclusions.
188,Michael Ley,465,Rejected,Unconvincing or unsupported conclusions.
189,Michael Ley,28870,Rejected,Unconvincing or unsupported conclusions.
190,Michael Ley,189,Rejected,Unconvincing or unsupported conclusions.
191,Michael Ley,231,Rejected,Unconvincing or unsupported conclusions.
192,Michael Ley,28704,Rejected,Unconvincing or unsupported conclusions.
193,Stefan Böttcher,533,Accepted,Well-structured and coherent argument.
194,Stefan Böttcher,28994,Accepted,Well-structured and coherent argument.
195,Stefan Böttcher,314,Accepted,Well-structured and coherent argument.
196,Stefan Böttcher,29104,Accepted,Well-structured and coherent argument.
197,Stefan Böttcher,496,Accepted,Well-structured and coherent argument.
198,Stefan Böttcher,28756,Accepted,Well-structured and coherent argument.
199,Stefan Böttcher,29034,Accepted,Well-structured and coherent argument.
200,Stefan Böttcher,29012,Accepted,Well-structured and coherent argument.
201,Stefan Böttcher,187,Accepted,Well-structured and coherent argument.
202,Stefan Böttcher,28849,Accepted,Well-structured and coherent argument.
203,Stefan Böttcher,28687,Accepted,Well-structured and coherent argument.
204,Stefan Böttcher,305,Accepted,Well-structured and coherent argument.
205,Stefan Böttcher,28916,Accepted,Well-structured and coherent argument.
206,Stefan Böttcher,28897,Accepted,Well-structured and coherent argument.
207,Stefan Böttcher,174,Accepted,Well-structured and coherent argument.
208,Stefan Böttcher,28797,Accepted,Well-structured and coherent argument.
209,Stefan Böttcher,25,Accepted,Well-structured and coherent argument.
210,Ulrike Schwall,28796,Accepted,Significant and impactful findings.
211,Ulrike Schwall,28726,Accepted,Significant and impactful findings.
212,Ulrike Schwall,28942,Accepted,Significant and impactful findings.
213,Ulrike Schwall,242,Accepted,Significant and impactful findings.
214,Ulrike Schwall,445,Accepted,Significant and impactful findings.
215,Ulrike Schwall,29021,Accepted,Significant and impactful findings.
216,Ulrike Schwall,173,Accepted,Significant and impactful findings.
217,Ulrike Schwall,28941,Accepted,Significant and impactful findings.
218,Ulrike Schwall,433,Accepted,Significant and impactful findings.
219,Ulrike Schwall,493,Accepted,Significant and impactful findings.
220,Ulrike Schwall,40,Accepted,Significant and impactful findings.
221,Ulrike Schwall,545,Accepted,Significant and impactful findings.
222,Ulrike Schwall,28732,Accepted,Significant and impactful findings.
223,Bernd Walter,28758,Accepted,Excellent methodology and analysis.
224,Bernd Walter,372,Accepted,Excellent methodology and analysis.
225,Bernd Walter,29095,Accepted,Excellent methodology and analysis.
226,Bernd Walter,28988,Accepted,Excellent methodology and analysis.
227,Bernd Walter,61,Accepted,Excellent methodology and analysis.
228,Bernd Walter,270,Accepted,Excellent methodology and analysis.
229,Bernd Walter,348,Accepted,Excellent methodology and analysis.
230,Bernd Walter,28896,Accepted,Excellent methodology and analysis.
231,Rudi Studer,148,Rejected,Weak argument and analysis.
232,Rudi Studer,28681,Rejected,Weak argument and analysis.
233,Rudi Studer,28815,Rejected,Weak argument and analysis.
234,Rudi Studer,502,Rejected,Weak argument and analysis.
235,Rudi Studer,550,Rejected,Weak argument and analysis.
236,Rudi Studer,28883,Rejected,Weak argument and analysis.
237,Rudi Studer,514,Rejected,Weak argument and analysis.
238,Rudi Studer,28971,Rejected,Weak argument and analysis.
239,Rudi Studer,580,Rejected,Weak argument and analysis.
240,Rudi Studer,28763,Rejected,Weak argument and analysis.
241,Rudi Studer,29071,Rejected,Weak argument and analysis.
242,Albert Maier,28708,Accepted,Thorough and well-written.
243,Albert Maier,398,Accepted,Thorough and well-written.
244,Albert Maier,28774,Accepted,Thorough and well-written.
245,Albert Maier,29037,Accepted,Thorough and well-written.
246,Albert Maier,494,Accepted,Thorough and well-written.
247,Erich Gehlen,532,Accepted,Significant and impactful findings.
248,Erich Gehlen,28861,Accepted,Significant and impactful findings.
249,Erich Gehlen,29046,Accepted,Significant and impactful findings.
250,Erich Gehlen,102,Accepted,Significant and impactful findings.
251,Toni Bollinger,496,Accepted,Well researched and clearly presented.
252,Toni Bollinger,500,Accepted,Well researched and clearly presented.
253,Toni Bollinger,157,Accepted,Well researched and clearly presented.
254,Toni Bollinger,28890,Accepted,Well researched and clearly presented.
255,Toni Bollinger,348,Accepted,Well researched and clearly presented.
256,Toni Bollinger,28750,Accepted,Well researched and clearly presented.
257,Carola Eschenbach,28756,Accepted,Excellent methodology and analysis.
258,Carola Eschenbach,133,Accepted,Excellent methodology and analysis.
259,Carola Eschenbach,270,Accepted,Excellent methodology and analysis.
260,Carola Eschenbach,14,Accepted,Excellent methodology and analysis.
261,Bernhard Beckert,28868,Rejected,Lack of original contribution to the field.
262,Gudrun Klose,28917,Rejected,Inconsistent or contradictory results.
263,Gudrun Klose,28745,Rejected,Inconsistent or contradictory results.
264,Gudrun Klose,126,Rejected,Inconsistent or contradictory results.
265,Gudrun Klose,28967,Rejected,Inconsistent or contradictory results.
266,Gudrun Klose,283,Rejected,Inconsistent or contradictory results.
267,Gudrun Klose,527,Rejected,Inconsistent or contradictory results.
268,Gudrun Klose,28960,Rejected,Inconsistent or contradictory results.
269,Gudrun Klose,445,Rejected,Inconsistent or contradictory results.
270,Klaus Rehkämper,370,Rejected,Not a good fit for the journal's scope.
271,Klaus Rehkämper,420,Rejected,Not a good fit for the journal's scope.
272,Klaus Rehkämper,547,Rejected,Not a good fit for the journal's scope.
273,Klaus Rehkämper,541,Rejected,Not a good fit for the journal's scope.
274,Klaus Rehkämper,28783,Rejected,Not a good fit for the journal's scope.
275,Klaus Rehkämper,103,Rejected,Not a good fit for the journal's scope.
276,Klaus Rehkämper,53,Rejected,Not a good fit for the journal's scope.
277,Klaus Rehkämper,126,Rejected,Not a good fit for the journal's scope.
278,Michael Herweg,267,Rejected,Insufficient research design and methodology.
279,Michael Herweg,28971,Rejected,Insufficient research design and methodology.
280,Michael Herweg,29020,Rejected,Insufficient research design and methodology.
281,Michael Herweg,290,Rejected,Insufficient research design and methodology.
282,Mohammed Nadjib Khenkhar,29039,Accepted,Well-structured and coherent argument.
283,Mohammed Nadjib Khenkhar,29042,Accepted,Well-structured and coherent argument.
284,Mohammed Nadjib Khenkhar,581,Accepted,Well-structured and coherent argument.
285,Mohammed Nadjib Khenkhar,404,Accepted,Well-structured and coherent argument.
286,Simone Pribbenow,285,Rejected,Lack of original contribution to the field.
287,Simone Pribbenow,28685,Rejected,Lack of original contribution to the field.
288,Simone Pribbenow,28871,Rejected,Lack of original contribution to the field.
289,Simone Pribbenow,74,Rejected,Lack of original contribution to the field.
290,Simone Pribbenow,543,Rejected,Lack of original contribution to the field.
291,Simone Pribbenow,28680,Rejected,Lack of original contribution to the field.
292,Simone Pribbenow,180,Rejected,Lack of original contribution to the field.
293,Simone Pribbenow,547,Rejected,Lack of original contribution to the field.
294,Simone Pribbenow,28821,Rejected,Lack of original contribution to the field.
295,Simone Pribbenow,339,Rejected,Lack of original contribution to the field.
296,Simone Pribbenow,28709,Rejected,Lack of original contribution to the field.
297,Simone Pribbenow,351,Rejected,Lack of original contribution to the field.
298,Simone Pribbenow,28830,Rejected,Lack of original contribution to the field.
299,Simone Pribbenow,29073,Rejected,Lack of original contribution to the field.
300,Simone Pribbenow,185,Rejected,Lack of original contribution to the field.
301,Brigitte Bartsch-Spörl,584,Rejected,Not a good fit for the journal's scope.
302,Brigitte Bartsch-Spörl,417,Rejected,Not a good fit for the journal's scope.
303,Brigitte Bartsch-Spörl,245,Rejected,Not a good fit for the journal's scope.
304,Brigitte Bartsch-Spörl,413,Rejected,Not a good fit for the journal's scope.
305,Brigitte Bartsch-Spörl,291,Rejected,Not a good fit for the journal's scope.
306,Brigitte Bartsch-Spörl,28997,Rejected,Not a good fit for the journal's scope.
307,Angelika Storrer,28886,Rejected,Not a good fit for the journal's scope.
308,Angelika Storrer,511,Rejected,Not a good fit for the journal's scope.
309,Angelika Storrer,242,Rejected,Not a good fit for the journal's scope.
310,Angelika Storrer,28725,Rejected,Not a good fit for the journal's scope.
311,Angelika Storrer,28940,Rejected,Not a good fit for the journal's scope.
312,Angelika Storrer,29010,Rejected,Not a good fit for the journal's scope.
313,Brigitte Bläser,529,Rejected,Insufficient research design and methodology.
314,Brigitte Bläser,28943,Rejected,Insufficient research design and methodology.
315,Brigitte Bläser,29093,Rejected,Insufficient research design and methodology.
316,Esther König,346,Accepted,Thorough and well-written.
317,Esther König,28980,Accepted,Thorough and well-written.
318,Esther König,412,Accepted,Thorough and well-written.
319,Esther König,29043,Accepted,Thorough and well-written.
320,Esther König,28885,Accepted,Thorough and well-written.
321,Esther König,324,Accepted,Thorough and well-written.
322,Esther König,28712,Accepted,Thorough and well-written.
323,Egon Börger,488,Accepted,Well researched and clearly presented.
324,Egon Börger,28743,Accepted,Well researched and clearly presented.
325,Egon Börger,28876,Accepted,Well researched and clearly presented.
326,Egon Börger,28908,Accepted,Well researched and clearly presented.
327,Egon Börger,35,Accepted,Well researched and clearly presented.
328,Egon Börger,28887,Accepted,Well researched and clearly presented.
329,Egon Börger,28705,Accepted,Well researched and clearly presented.
330,Egon Börger,134,Accepted,Well researched and clearly presented.
331,Egon Börger,28953,Accepted,Well researched and clearly presented.
332,Egon Börger,28931,Accepted,Well researched and clearly presented.
333,Egon Börger,28845,Accepted,Well researched and clearly presented.
334,Egon Börger,151,Accepted,Well researched and clearly presented.
335,Egon Börger,210,Accepted,Well researched and clearly presented.
336,Egon Börger,344,Accepted,Well researched and clearly presented.
337,Peter H. Schmitt,28773,Accepted,Valuable addition to the literature.
338,Peter H. Schmitt,490,Accepted,Valuable addition to the literature.
339,Peter H. Schmitt,28945,Accepted,Valuable addition to the literature.
340,Peter H. Schmitt,14,Accepted,Valuable addition to the literature.
341,Peter H. Schmitt,148,Accepted,Valuable addition to the literature.
342,Peter H. Schmitt,28919,Accepted,Valuable addition to the literature.
343,Peter H. Schmitt,28920,Accepted,Valuable addition to the literature.
344,Peter H. Schmitt,29,Accepted,Valuable addition to the literature.
345,Peter H. Schmitt,67,Accepted,Valuable addition to the literature.
346,Peter H. Schmitt,28753,Accepted,Valuable addition to the literature.
347,Peter H. Schmitt,450,Accepted,Valuable addition to the literature.
348,Helmar Gust,325,Accepted,Compelling and well-supported conclusions.
349,Helmar Gust,458,Accepted,Compelling and well-supported conclusions.
350,Mechthild Rickheit,28698,Accepted,Well-structured and coherent argument.
351,Mechthild Rickheit,28744,Accepted,Well-structured and coherent argument.
352,Mechthild Rickheit,28960,Accepted,Well-structured and coherent argument.
353,Petra Ludewig,499,Rejected,Inconsistent or contradictory results.
354,Petra Ludewig,199,Rejected,Inconsistent or contradictory results.
355,Petra Ludewig,28895,Rejected,Inconsistent or contradictory results.
356,Petra Ludewig,386,Rejected,Inconsistent or contradictory results.
357,Petra Ludewig,73,Rejected,Inconsistent or contradictory results.
358,Petra Ludewig,28900,Rejected,Inconsistent or contradictory results.
359,Kai von Luck,70,Rejected,Unconvincing or unsupported conclusions.
360,Kai von Luck,181,Rejected,Unconvincing or unsupported conclusions.
361,Kai von Luck,29036,Rejected,Unconvincing or unsupported conclusions.
362,Kai von Luck,8,Rejected,Unconvincing or unsupported conclusions.
363,Kai von Luck,28695,Rejected,Unconvincing or unsupported conclusions.
364,Kai von Luck,483,Rejected,Unconvincing or unsupported conclusions.
365,Martin Hübner,210,Rejected,Lack of original contribution to the field.
366,Martin Hübner,204,Rejected,Lack of original contribution to the field.
367,Ulrike Weiland,28673,Rejected,Poorly written and difficult to understand.
368,Ulrike Weiland,426,Rejected,Poorly written and difficult to understand.
369,Ulrike Weiland,127,Rejected,Poorly written and difficult to understand.
370,Ulrike Weiland,28725,Rejected,Poorly written and difficult to understand.
371,Ulrike Weiland,28937,Rejected,Poorly written and difficult to understand.
372,Ulrike Weiland,28925,Rejected,Poorly written and difficult to understand.
373,Elisabeth Neugebauer,239,Accepted,Excellent methodology and analysis.
374,Elisabeth Neugebauer,400,Accepted,Excellent methodology and analysis.
375,Ewald Lang,134,Rejected,Lack of original contribution to the field.
376,Ewald Lang,28700,Rejected,Lack of original contribution to the field.
377,Ewald Lang,543,Rejected,Lack of original contribution to the field.
378,Ewald Lang,500,Rejected,Lack of original contribution to the field.
379,Ewald Lang,17,Rejected,Lack of original contribution to the field.
380,Ewald Lang,28713,Rejected,Lack of original contribution to the field.
381,Ewald Lang,333,Rejected,Lack of original contribution to the field.
382,Ewald Lang,28956,Rejected,Lack of original contribution to the field.
383,Thomas Pirlein,404,Accepted,Excellent methodology and analysis.
384,Thomas Pirlein,455,Accepted,Excellent methodology and analysis.
385,Thomas Pirlein,60,Accepted,Excellent methodology and analysis.
386,Thomas Pirlein,434,Accepted,Excellent methodology and analysis.
387,Thomas Pirlein,521,Accepted,Excellent methodology and analysis.
388,Thomas Pirlein,28962,Accepted,Excellent methodology and analysis.
389,Gerd Kortüm,21,Rejected,Poorly written and difficult to understand.
390,Ingrid Renz,28932,Accepted,Thorough and well-written.
391,Ingrid Renz,149,Accepted,Thorough and well-written.
392,Ingrid Renz,84,Accepted,Thorough and well-written.
393,Ingrid Renz,29066,Accepted,Thorough and well-written.
394,Ingrid Renz,553,Accepted,Thorough and well-written.
395,Ingrid Renz,28722,Accepted,Thorough and well-written.
396,Ingrid Renz,167,Accepted,Thorough and well-written.
397,Noam Paz,28782,Rejected,Not a good fit for the journal's scope.
398,Noam Paz,357,Rejected,Not a good fit for the journal's scope.
399,Christos Garidis,28872,Rejected,Lack of original contribution to the field.
400,Christos Garidis,241,Rejected,Lack of original contribution to the field.
401,Christos Garidis,28735,Rejected,Lack of original contribution to the field.
402,Christos Garidis,29057,Rejected,Lack of original contribution to the field.
403,Jennifer A. Brundage,61,Rejected,Inadequate data and sample size.
404,Jennifer A. Brundage,327,Rejected,Inadequate data and sample size.
405,Maren Kresse,448,Rejected,Fundamental flaws in the study design.
406,Maren Kresse,28814,Rejected,Fundamental flaws in the study design.
407,Maren Kresse,28774,Rejected,Fundamental flaws in the study design.
408,Gregor Erbach,28721,Accepted,Well-structured and coherent argument.
409,Gregor Erbach,326,Accepted,Well-structured and coherent argument.
410,Gregor Erbach,67,Accepted,Well-structured and coherent argument.
411,Gregor Erbach,28734,Accepted,Well-structured and coherent argument.
412,Ulrike Rackow,415,Accepted,Significant and impactful findings.
413,Ulrike Rackow,583,Accepted,Significant and impactful findings.
414,Ulrike Rackow,428,Accepted,Significant and impactful findings.
415,Ulrike Rackow,28835,Accepted,Significant and impactful findings.
416,Ulrike Rackow,28941,Accepted,Significant and impactful findings.
417,Rolf Mayer,28834,Accepted,Excellent methodology and analysis.
418,Rolf Mayer,183,Accepted,Excellent methodology and analysis.
419,Rolf Mayer,28901,Accepted,Excellent methodology and analysis.
420,Rolf Mayer,28774,Accepted,Excellent methodology and analysis.
421,Rolf Mayer,28721,Accepted,Excellent methodology and analysis.
422,Rüdiger Wirth,29053,Rejected,Unconvincing or unsupported conclusions.
423,Rüdiger Wirth,28714,Rejected,Unconvincing or unsupported conclusions.
424,Holger M. Wittmann,28720,Rejected,Insufficient research design and methodology.
425,Holger M. Wittmann,28763,Rejected,Insufficient research design and methodology.
426,Bernd Abb,28820,Accepted,Innovative and thought-provoking.
427,Kai Lebeth,370,Rejected,Fundamental flaws in the study design.
428,Andreas Eisele 0001,14,Rejected,Not a good fit for the journal's scope.
429,Jochen Dörre,109,Rejected,Lack of original contribution to the field.
430,Jochen Dörre,28771,Rejected,Lack of original contribution to the field.
431,Jochen Dörre,129,Rejected,Lack of original contribution to the field.
432,Jochen Dörre,28887,Rejected,Lack of original contribution to the field.
433,Jochen Dörre,422,Rejected,Lack of original contribution to the field.
434,Jochen Dörre,353,Rejected,Lack of original contribution to the field.
435,Jochen Dörre,28949,Rejected,Lack of original contribution to the field.
436,Jochen Dörre,28782,Rejected,Lack of original contribution to the field.
