,articleID,authors,journal,number,pages,title,volume,year,citations,correspondingAuthor,keywords,reviewers,abstract,edition_year,conference,edition_id,edition_number,city,start_date,end_date,issn,volume_id
12,13,Frank Manola,GTE Laboratories Incorporated,,,Distributed Object Management Technology.,TM-0014-06-88-165,1988,8|4|5,Frank Manola,data storage|data querying|data storage|data storage|data modeling,Anat Elhalal|Gardar Arnason|Nora Freya Lindemann|Subhendu Bikash Hazra,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1988.0,ICML,ICML_20,20.0,London,20-10-1988,23-10-1988,59943403,59943403-TM-0014-06-88-165
13,14,Benjamin Hurwitz|Farshad Nayeri,GTE Laboratories Incorporated,,,Experiments with Dispatching in a Distributed Object System.,TR-0236-09-93-165,1993,4,Farshad Nayeri,big data|data storage|data processing|data querying,Peter H. Schmitt|Christian Stangier|Andreas Eisele 0001|Carola Eschenbach,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1993.0,CVPR,CVPR_25,25.0,Tokyo,01-08-1993,05-08-1993,59943403,59943403-TR-0236-09-93-165
14,15,Michael Stonebraker,University of California at Berkeley,,,Muffin: A Distributed Database Machine,UCB/ERL M79/28,1979,29080|523|29024|21,Michael Stonebraker,neural networks|reinforcement learning|computer vision|reinforcement learning|genetic algorithms|knowledge representation,Nguyen V. Thoai|Claus-Rainer Rollinger|Gregor Meyer|Tarcisio Abreu Saurin,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,26703089,26703089-UCB/ERL M79/28
15,16,Cetin Ozbutun|David Beech,ANSI X3H2,,,Object Oriented DBMS as a Generalization of Relational DBMS,X3H2-90-412,1990,28961|357|518|28806|28778|11|28977|29073|435|21|374|473,Cetin Ozbutun,neural networks|genetic algorithms,Tanuj Kanchan|Lothar Breuer|Hugo Hellebrand|Christian Reuter 0001|Ingo Raasch,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1990.0,CVPR,CVPR_22,22.0,New York,14-11-1990,16-11-1990,36214899,36214899-X3H2-90-412
16,17,Jim Melton|Jonathan Bauer|Krishna G. Kulkarni|Mike Kelley,ANSI X2H2,,,Inheritance for ADTs (revised),DBL:KAW-006 X3H2-91-133rev1,1991,322|3|28966|28973|272|28786|28918|28886|28924,Krishna G. Kulkarni,indexing|data processing|big data|data management|data management,Ewald Lang|Christoph Meinel|George C. Banks|Mikkel Willum Johansen|Dusanka Krajnovic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1991.0,NeurIPS,NeurIPS_23,23.0,San Francisco,19-02-1991,20-02-1991,42806937,42806937-DBL:KAW-006 X3H2-91-133rev1
17,18,Phil Shaw,ANSI X3H2,,,Modification of User Defined Types,X3H2-90-292,1990,388|261|262|275|282|28701|548|295|28842|28714|438|28860|28864|322|29000|28888|486|109|28916|28789|28794|382,Phil Shaw,knowledge representation|neural networks|computer vision|machine learning,Peter Gritzmann|Kurt Eberle|Christoph Meinel|Carsten Damm,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1990.0,AAAI,AAAI_22,22.0,Tokyo,01-07-1990,05-07-1990,36214899,36214899-X3H2-90-292
18,19,Jim Melton|Jonathan Bauer|Krishna G. Kulkarni,ANSI X3H2,,,Object ADTs (with improvements for Value ADTs),DBL:ARL-029 X3H2-91-083rev1,1991,28960|546|418|29048|29023|28682|28778|28813|399|304|29047|28728|25|509|382|28991,Jonathan Bauer,security policies|information security|malware analysis|cybersecurity|security policies|risk management,E. Michelle Todd|Andrew Sixsmith|Volker Schillings|Leonidas G. Koniaris,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,36214899,36214899-DBL:ARL-029 X3H2-91-083rev1
19,20,David Beech,ANSI X3H2,,,Unification of Value and Object ADTs,X3H2-92-062,1992,28930|262|434|436|28790|28985,David Beech,threat detection|cybersecurity,Ibo van de Poel|Hongqin Zhao|Ekkehard W. Sachs|Denise A. Baker,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1992.0,CVPR,CVPR_24,24.0,New York,10-07-1992,13-07-1992,36214899,36214899-X3H2-92-062
20,21,Rolf Sander,IWBS Report,,,Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,191,1991,28680|267|28717|28846|431|433|437|28726|443|193|29006|472|28769|28771|28903|29034|29039|28784|382,Rolf Sander,security policies|cybersecurity|penetration testing|cybercrime|security policies|cybercrime,Ekkehard W. Sachs|Matthew J. Brown|Gerd Kortüm,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1991.0,ICML,ICML_23,23.0,New York,20-06-1991,23-06-1991,25355511,25355511-191
21,22,Thomas Ludwig 0001,LILOG-Report,,,Algebraical Optimization of FTA-Expressions,59,1988,28768|28961|65|28715|29100|28717|28845|28689|29014|409|506|29023,Thomas Ludwig 0001,data querying|data management|data management|data processing|data modeling|data querying,Yang Liu|Thomas Schwentick|Bernice S. Elger|Bailey C. Davis|Friedemann Leibfritz,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,94080827,94080827-59
22,23,Claus-Rainer Rollinger|Werner Emde,LILOG-Report,,,Wissensrepräsentation und Maschinelles Lernen,15,1987,28802|28932|261|397|29074|29075|412|28716|173|49|28992|70|72|204|337|28890|28896|29025|481|362|29044|28917|375,Werner Emde,natural language processing|reinforcement learning,Mei Lan Fang|Michael Stonebraker|Ming Shan|Christoph Beierle|Penelope Engel-Hills,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,94080827,94080827-15
23,24,Christoph Beierle|Hans Uszkoreit|Udo Pletat,LILOG-Report,,,An Algebraic Characterization of STUF,40,1988,28984|28714|324|343,Christoph Beierle,malware analysis|cybercrime|information security|information security,Mario Malicki|Claire Gloeckner|Christoph Meinel|Alexander Hevelke,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,94080827,94080827-40
24,25,Ido Dagan|Ulrike Rackow|Ulrike Schwall,IWBS Report,,,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,225,1992,28931|28804|261|28808|28681|405|28967|297|28857|315|452|29000|330|29009|338|28761|28892|479|28908|28791,Ido Dagan,natural language processing|bayesian networks|bayesian networks,Gunter Bombaerts|Dieter Baum|Enrica Marchigiani|Elena Dubrova|Stefan Böttcher,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1992.0,AAAI,AAAI_24,24.0,Paris,08-09-1992,13-09-1992,25355511,25355511-225
25,26,Brigitte Bartsch-Spörl,LILOG-Memo,,,Zur Systemarchitektur von LILOG,2,1987,262|263|518|269|141|29077|407|28695|287|292|28968|28969|28856|28749|29014|28886|472|217|28782|239|113|28926,Brigitte Bartsch-Spörl,network security|threat detection|security policies|cybersecurity|vulnerability,Alexander Kaplan|Claus-Rainer Rollinger|Heiner Semle,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1987.0,AAAI,AAAI_19,19.0,Tokyo,05-10-1987,06-10-1987,47535734,47535734-2
26,27,Burkhard Kehrbusch|Erich Gehlen,LILOG-Report,,,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,61,1988,29089|354|449|28769|319|28774|92|29073|371|28980|531|373|220,Burkhard Kehrbusch,data querying|data management|data storage|data querying,Cezary Bolek|Freida Ozavize Ayodele|Jeffrey T. Mason|Christoph Beierle|Michael O'Rourke,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1988.0,ICML,ICML_20,20.0,London,20-10-1988,23-10-1988,94080827,94080827-61
27,28,Gert Smolka|Markus Höhfeld,LILOG-Report,,,Definite Resolution over Constraint Languages,53,1988,515|29065|29071|28816|19|20|275|160|28833|162|168|299|44|28972|303|47|307|437|577|28872|73|76|28749|98|243|371|28920,Markus Höhfeld,deep learning|expert systems|computer vision|computer vision|knowledge representation,Rolf Sander|Christine Aicardi|Raphael Cohen-Almagor|Harald Sack,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,94080827,94080827-53
28,29,Birgit Wesche,LILOG-Memo,,,Dokumentation der Syntax der LILOG-Grammatik,9,1988,28806|28807|17|404|29080|32|28963|28714|428|28847|28852|181|308|438|585|205|468|341|28892|28894|353|28770|101|121|29052,Birgit Wesche,natural language processing|knowledge representation|machine learning|natural language processing|natural language processing,Stephen A. Gallo|Prasanna Mithra|Jovan Shopovski|Peter H. Schmitt|Mary I. Coombs,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,47535734,47535734-9
29,30,Christopher Habel,LILOG-Report,,,Cognitive Linguistics: The Processing of Spatial Concepts,45,1988,28676|164|29055|511|28684|237|365|28784|529|276|342|28951|440|28922,Christopher Habel,risk management|risk management|cybercrime|threat detection,Shane Connelly|Lise Degn|Klaus Jansen|Gurami Tsitsiashvili|Christian Fecht,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,94080827,94080827-45
30,31,Albert Maier|Bernd Walter|Erich Gehlen|Michael Ley|Thomas Ludwig 0001,LILOG-Report,,,LILOG-DB: Database Support for Knowledge-Based Systems,56,1988,,Bernd Walter,reinforcement learning|natural language processing|computer vision|machine learning|reinforcement learning,Alexander Kaplan|Anna Slobodová|Kurt Eberle,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1988.0,AAAI,AAAI_20,20.0,Paris,08-07-1988,10-07-1988,94080827,94080827-56
31,32,Erich Gehlen|Stefan Benzschawel|Thomas Ludwig 0001,IWBS Report,,,Differential Closure Computation for General Horn-Clause Queries,201,1991,28961|29060|29029|28997|7|303|28976|307|28884|29077|534|28734|121|28764,Erich Gehlen,neural networks|natural language processing|genetic algorithms|machine learning|natural language processing|deep learning,Keiko Sato|Fahime Asadi|Simisola Akintoye|Anton Oleinik|Markus Höhfeld,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1991.0,ACL,ACL_23,23.0,Paris,14-11-1991,15-11-1991,25355511,25355511-201
33,34,Egon Börger,IWBS Report,,,A Logical Operational Semantics of Full Prolog,111,1990,28672|29058|28931|29059|28680|269|152|28825|28956|28703|416|547|28838|28714|577|28871|29005|28765|488|28921,Egon Börger,data querying|data processing,Kathleen M. Vogel|Mikail Gevantmakher|Sandra L. Titus,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1990.0,NeurIPS,NeurIPS_22,22.0,London,13-12-1990,18-12-1990,25355511,25355511-111
34,35,Michael Ley,LILOG-Report,,,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,60,1988,29024|480|69|454|28981|28791|127|382|28671,Michael Ley,security policies|information security|vulnerability|risk management|risk management,Tatjana Crnjanski|Egon Börger|Blake J. Bent|Ekkehard W. Sachs|Helmut Seidl,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,94080827,94080827-60
35,36,Roland Seiffert,IWBS Report,,,How could a good system of practical NLP look like?,228,1992,28805|28681|543|29095|48|28879|29008|29007|28754|28759|29021|477|28895|28774|28778|379|28924|381,Roland Seiffert,data management|data modeling|data processing,Alexander Kaplan|Jochen Dörre|Nguyen V. Thoai|Sean Streck,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1992.0,ICML,ICML_24,24.0,Paris,24-05-1992,29-05-1992,25355511,25355511-228
36,37,Gisela Schöpke,IWBS Report,,,Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,188,1991,416|577|28902|263|396|29103|29072|306|276|536|317|29021|29085|478,Gisela Schöpke,indexing|data storage,Judy Illes|Dusanka Krajnovic|Penelope Engel-Hills,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1991.0,NeurIPS,NeurIPS_23,23.0,San Francisco,19-02-1991,20-02-1991,25355511,25355511-188
37,38,Stefan Böttcher,IWBS Report,,,Attribute Inheritance Implemented on Top of a Relational Database System,87,1989,262|392|28808|268|29086|28714|28716|28973|28719|28855|443|326|209|28882|224|361|377|510,Stefan Böttcher,expert systems|neural networks|machine learning|knowledge representation|genetic algorithms|knowledge representation,Daniel Görgen|Markus Wiegelmann|Cristian Timmermann,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-87
38,39,Ulrike Schwall,IWBS Report,,,LMT - Machine Translation Demonstration,177,1991,416|448|28772|28901|548|497|28818|183|29084,Ulrike Schwall,data modeling|indexing,Darren Schreiber|Stefano Bertuzzi|Susan Dodds|J. Fdez-Valdivia|Michele Lioj,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-177
39,40,Bernd Walter|Rudi Studer,LILOG-Report,,,Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment,3,1986,513|163|408|552|463|29103|246|29016|28793,Rudi Studer,knowledge representation|knowledge representation|expert systems|natural language processing,Igor E. Shparlinski|Günther Görz|Ulrike Schwall|Maria Pina Dore|Betty B. Chaar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,94080827,94080827-3
40,41,Albert Maier|Erich Gehlen|Michael Ley,IWBS Report,,,Sort Processing in a Deductive Database System,154,1991,386|28812|270|25|29089|28709|306|28729|28987|451|28740|221|353|482|29030,Michael Ley,bayesian networks|bayesian networks|computer vision|deep learning,Charles-Henry Frouart|Jim Gray 0001|Heidrun Åm,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-154
41,42,Bernd Walter|Thomas Ludwig 0001,IWBS Report,,,EFTA: A Database Retrieval Algebra for Feature Terms,150,1991,513|28678|7|550|426|432|307|28861|445|327|29002|28884|28764|28774|491|29038|28797,Thomas Ludwig 0001,data modeling|data management|indexing,Angela Cirigliano|Carsten Damm|Jim Melton|Klaus Jansen,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-150
42,43,Toni Bollinger|Udo Pletat,IWBS Report,,,Knowledge in Operation,165,1991,28769|471|535|320|335|29075|116|406|28826|311,Udo Pletat,data management|data management,Alexander Kaplan|Joe D. Morrison|Maartje G. H. Niezen|Oronzo Parlangeli|Christoph Meinel,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-165
43,44,Christoph Beierle,IWBS Report,,,An Overview on Planning Applications in PROTOS-L,163,1991,28802|28933|263|29070|415|28972|28849|28856|445|65|28868|462|207|337|341|28891|476|354|498|510,Christoph Beierle,machine learning|deep learning,Raymond F. Boyce|Ray Chu|Kenneth H. Funk II|Elise Smith|Christoph Meinel,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1991.0,ICML,ICML_23,23.0,New York,20-06-1991,23-06-1991,25355511,25355511-163
44,45,Carola Eschenbach,LILOG-Report,,,Über Ansätze zur Darstellung von Konzepten und Prototypen,34,1988,130|519|9|138|28690|283|158|28959|28832|28836|552|434|28981|60|62|28735|320|334|84|29013|98|28777|237|28787|29045|28920,Carola Eschenbach,natural language processing|reinforcement learning|natural language processing|natural language processing|natural language processing,Matthew Benjamin Reisman|Bradford W. Wade|Christoph Meinel|Frank Manola|Lisa H. Newton,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,94080827,94080827-34
45,46,Gert Smolka|Manfred Schmidt-Schauß,IWBS Report,,,Attributive Concept Descriptions with Unions and Complements,68,1989,29022|226|28846|28879|28976|274|115|275|28981|502|398,Gert Smolka,deep learning|computer vision,Carsten Damm|Irving L. Traiger|Eran Klein,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-68
46,47,Hans-Joachim Goltz,IWBS Report,,,Ein praktischer Algorithmus für die E-Unifikation,166,1991,352|297|29034|143|255,Hans-Joachim Goltz,malware analysis|information security|cybercrime,Stasys Jukna|Russell George Thompson|Gunter Bombaerts,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1991.0,ICML,ICML_23,23.0,New York,20-06-1991,23-06-1991,25355511,25355511-166
47,48,Claus-Rainer Rollinger,LILOG-Report,,,Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache,5,1986,416|545|546|29092|28741|28775|28839|29031|295|8|201|28877|28782|263|531|29083,Claus-Rainer Rollinger,bayesian networks|knowledge representation|neural networks|deep learning|bayesian networks,Ranganatha Sitaram|D. Kleis|Meghnaa Tallapragada,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1986.0,ICML,ICML_18,18.0,Paris,30-06-1986,05-07-1986,94080827,94080827-5
48,49,Otthein Herzog,IWBS Report,,,The Institute for Knowledge Based Systems in the IBM Germany Scientific Center,126,1990,,Otthein Herzog,bayesian networks|deep learning|computer vision|reinforcement learning,Christoph Beierle|Giovanni Rubeis|Christoph W. Keßler,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1990.0,AAAI,AAAI_22,22.0,Tokyo,01-07-1990,05-07-1990,25355511,25355511-126
49,50,Bernhard Beckert,IWBS Report,,,Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser,208,1992,28714|29103|28753|433|317,Bernhard Beckert,network security|cybercrime|risk management,Silvia Teresa Morales-Gualdrón|Ramón A. Feenstra|Friedemann Leibfritz,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-208
50,51,Christoph Beierle|Stefan Böttcher,IWBS Report,,,PROTOS-L: Towards a Knowledge Base Programming Language,89,1989,106|141|367|28851|28949|28670|377|476|350|351,Stefan Böttcher,data processing|data storage|big data,Miri Barak|Alexander Kaplan|Matteo E. Bonfanti|Ruyin Long,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1989.0,NeurIPS,NeurIPS_21,21.0,Paris,08-10-1989,11-10-1989,25355511,25355511-89
51,52,Stefan J. Schierholz,IWBS Report,,,Syntaktische Informationseinheiten zu deutschen Adjektiven,212,1992,28801|385|517|264|28689|28704|435|28853|314|28993|28998|339|28903|28904|29034|376,Stefan J. Schierholz,data management|big data|data processing|data processing|big data,Hugh Desmond|David Beech|Udo Pletat|Alankrita Taneja,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1992.0,NeurIPS,NeurIPS_24,24.0,Tokyo,10-03-1992,15-03-1992,25355511,25355511-212
52,53,Christoph Beierle|Udo Pletat,LILOG-Report,,,"On the Interpretation of Equality, Sorts, and Logic Programming",37,1987,29056|298|28795|28778|29045|123,Udo Pletat,genetic algorithms|bayesian networks|reinforcement learning|neural networks,D. Marx|Kurt Eberle|Klaus Rehkämper|Karin Neuhold,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1987.0,NeurIPS,NeurIPS_19,19.0,San Francisco,21-12-1987,24-12-1987,94080827,94080827-37
53,54,Birgit Wendholt,IWBS Report,,,DInG - ein Domänen-orientierter Inkrementeller und Integrierter Generator für kohärente Texte,237,1992,28865,Birgit Wendholt,data storage|data modeling|data modeling|data management|data management,Manfred Laumen|Frank Manola|Gerhard J. Woeginger|Raney Folland,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-237
54,55,Gudrun Klose,IWBS Report,,,Prozedurale Semantik. Repräsentation der Sprechergegenwart.,180,1991,28934|523|302|347|28916|28728|28763|476,Gudrun Klose,risk management|penetration testing|information security,Klaus Jansen|Cetin Ozbutun|Balamuralithara Balakrishnan|Raymond E. Spier,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,25355511,25355511-180
55,56,Klaus Rehkämper|Michael Herweg|Mohammed Nadjib Khenkhar|Simone Pribbenow,LILOG-Memo,,,Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung,8,1988,416|28867|454|105|553|397|28974|29038|28720|337|29043|500|147|28860,Simone Pribbenow,cybersecurity|malware analysis|penetration testing|malware analysis|network security,Kristine Bærøe|Christian Hervé|Gerhard J. Woeginger,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,47535734,47535734-8
