,ID,Title,Author,AuthorID,Venue,VenueID,VenueType,ConferenceType,Area,Published,PublishedIn,PaperType
18,eb3c807a8b164af88d099509c2312c03,A Decomposition Algorithm for Optimization over Efficient Sets,Klaus Rehkämper,d4d5aa72f75d4289b0917adbd5fb1b89,IEEE Data Science and Engineering,IEEE-DS,Journal,,ArtificialIntelligence,True,IEEE-DS-Volume-4,DemoPaper
19,231ca8b2e6484887952581dc50dbaac8,A Decomposition Approach for the Global Minimization of Biconcave Functions over Polytopes,Hui Lu,be4781b8bc35454e912618991de7552e,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE-TPAMI,Journal,,NaturalLanguageProcessing,False,,FullPaper
20,86179a5343da4ce3912e4ffaa51c1167,A Decomposition Method Using Duality Bounds for Nonconvex Optimization,Gregor Erbach,cbf3ee51b6e14e3b8b56a2e63c3f2e3f,Conference on Human Factors in Computing Systems,CHI,Conference,RegularConference,Databases,False,,Poster
21,31eb9e05db454d52a3fe569475346556,A Decomposition Method in Nonconvex Mixed-Integer Programming,Adam Briggle,6b48250a5f164bdc9ba00956bc3c49b4,ACM Symposium on User Interface Software and Technology,UIST,Conference,RegularConference,ArtificialIntelligence,False,,FullPaper
22,fc044811c54340bf82d1f1c100ace38a,A Fast and Robust Algorithm for a Class of Generalized Fractional Programs,Robert Kirkman,409920a654c6429c9fd885c39added94,ACM International Conference on Mobile Computing and Networking,MobiCom,Conference,RegularConference,NaturalLanguageProcessing,False,,ShortPaper
23,d6bc937c20ec4a31ae147aca83183e3e,A Feature Logic with Subsorts,Ilse Oosterlaken,a753ab22dfba4653963bdc85ebd1537f,Conference on Neural Information Processing Systems,NeurIPS,Conference,ExpertGroups,NaturalLanguageProcessing,False,,DemoPaper
24,af1eecdd65684413b4ea7e8b63cc67aa,A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras,Bernd Page,e8f8eb8a1ff14372a3c184bf76fa721a,Journal of the American Statistical Association,JASA,Journal,,ArtificialIntelligence,True,JASA-Volume-2,DemoPaper
25,954b2d5d99824b1eb9aa40a94fe8c927,A Framework to Move Forward on the Path to Eco-innovation in the Construction Industry: Implications to Improve Firms' Sustainable Orientation.,Ilse Oosterlaken,a753ab22dfba4653963bdc85ebd1537f,Special Interest Group on Data Communications Conference,SIGCOMM,Conference,RegularConference,Databases,True,SIGCOMM-Proceeding-5,Poster
26,19b78e64458d4b1bbf7497288730731e,A Generic Background Dissemination Service for Mobile Ad-Hoc Networks,Lise Degn,92423116e46045148d4abad2f7c6cd87,Empirical Methods in Natural Language Processing,EMNLP,Conference,RegularConference,Databases,True,EMNLP-Proceeding-8,ShortPaper
27,1165676f74c74007b31f1ad6a43a3ab1,A Heuristic for (+)-OBDD Minimization,Wolfgang Schönfeld,ce236689454c48a295f6ea53450016b0,IEEE International Conference on Computer Communications,INFOCOM,Conference,ExpertGroups,Databases,True,INFOCOM-Proceeding-1,FullPaper
28,ca1d74dfd9fd40c1840e0fb66805e38b,A Knowledge Level Analysis of Belief Revision,Maria Misankova,583b73f9894b4879986a3e58d5100269,ACM Computing Surveys,ACM-CSUR,Journal,,ArtificialIntelligence,True,ACM-CSUR-Volume-8,FullPaper
29,9e34e40afa864dd6abc75c617f9de968,A LMI-Based Algorithm for Designing Suboptimal Static H,Peter Dierolf,68531b591066489f834ea2cf5bcd0f4f,ACM Transactions on Information Systems,TOIS,Journal,,ArtificialIntelligence,True,TOIS-Volume-2,DemoPaper
30,a90fb27b804b4cf1a9f82229c199edd0,A Lagrangian Method for Solving the Optimal Output Feedback Design Problem,Donna Riley,1c629aa7046e4f328d95372b0ba560a2,ACM Computing Surveys,ACM-CSUR,Journal,,ArtificialIntelligence,True,ACM-CSUR-Volume-10,ShortPaper
31,7556a0b3498c44119671b89b706597a3,A Logical Operational Semantics of Full Prolog,Ineke Malsch,8ff9f74f8fc24a809da4588c27836be1,Journal of the Association for Information Science and Technology,JASIST,Journal,,MachineLearning,False,,FullPaper
32,19309cec0fcb4e839d02dbc847411e61,A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations,Diane S. Gilleland,7bc2468b9a074424b8f798ac6cf259ed,ACM Transactions on Information Systems,TOIS,Journal,,ArtificialIntelligence,True,TOIS-Volume-2,FullPaper
33,e5363fc2de6d4a208388bdfb547ccdbd,"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output",Koos van der Bruggen,ab603559836044e7ae408df04d2751c5,International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp,Conference,ExpertGroups,Databases,True,UbiComp-Proceeding-2,ShortPaper
34,e3db4ce3a3b44fc48cacd2347df79b8f,A Meta-analytic Comparison of Face-to-Face and Online Delivery in Ethics Instruction: The Case for a Hybrid Approach.,Christopher Habel,a723c67b10e34382b7a1b3d7271820ce,ACM International Conference on Mobile Computing and Networking,MobiCom,Conference,RegularConference,NaturalLanguageProcessing,False,,FullPaper
35,c45fe68bdf904eec88a08b82b1dc50c5,A Mobilising Concept? Unpacking Academic Representations of Responsible Research and Innovation.,Robert Dionne,c08b6619330d44ffb0bf1a8eb1de7c0a,Association for Computational Linguistics,ACL,Conference,Workshop,NaturalLanguageProcessing,True,ACL-Proceeding-4,FullPaper
36,2920f0822d3148d793f4a13cbeb4e597,A Modal µ-Calculus for Durational Transition Systems,Markus Müller-Olm,a114284ee7ae4046a65607706bf9afe0,Journal of the American Statistical Association,JASA,Journal,,ArtificialIntelligence,True,JASA-Volume-8,FullPaper
37,d59319def63b40c88d39aa68ad849036,A Model Elimination Calculus for Generalized Clauses,Jürgen Manowsky,7a19b9c25a8444658d49af79aba1b9fd,Special Interest Group on Computer Graphics and Interactive Techniques Conference,SIGGRAPH,Conference,RegularConference,Databases,True,SIGGRAPH-Proceeding-3,DemoPaper
38,f4690e8b84154e07b6d2bfca5974a2b6,A Model for Discourse Particles,Stasys Jukna,0b2be6e85f8b4931b7a705dfbf4b5b1a,Artificial Intelligence Journal,AI,Journal,,ArtificialIntelligence,True,AI-Volume-8,FullPaper
39,cd302d6cced1448e8557b330ba0e1bad,A Modified Mesh Independence Principle of Newton's Method,Justin Donhauser,0bd8ab9141e5442f83f5f06ffedb9224,ACM Transactions on Intelligent Systems and Technology,ACM-TIST,Journal,,ArtificialIntelligence,True,ACM-TIST-Volume-1,FullPaper
40,571a0ddf95cd4de194639a48783ad713,A Multi-level Review of Engineering Ethics Education: Towards a Socio-technical Orientation of Engineering Education for Ethics.,Hendrik F. Machiel Van der Loos,714bcddf18af4175aa434e7bd21d8c91,Journal of Machine Learning,JML,Journal,,MachineLearning,False,,DemoPaper
41,3bbe175058914739be1724588cd458d1,"A New Experience: The Course of Ethics in Engineering in the Department of Civil Engineering, University of Granada.",Sebastian R. Diaz,e19b1b6b43874db3b8d6ee1037a6751c,Association for the Advancement of Artificial Intelligence,AAAI,Conference,RegularConference,MachineLearning,False,,ShortPaper
42,be17a478bb1646e78fc5182a4cc61f5e,A New LP-Bound in Multivariate Lipschitz Optimization: Application to Unconstrained and Linearly Constrained Problems and to Systems of Inequalities,Robert Kirkman,409920a654c6429c9fd885c39added94,ACM Transactions on Information Systems,TOIS,Journal,,ArtificialIntelligence,False,,ShortPaper
43,d8a34c3333444a96a23e61d7825d20ed,A New Proof of the Beckenbach Inequalities,Thomas Ludwig 0001,1bb4b30176244be7bd443e1fccb99f69,Journal of Machine Learning Research,JMLR,Journal,,ArtificialIntelligence,False,,FullPaper
44,2b4843ab96354f98a49f54191dfae3b4,A Note on Möbius Functions and the Communication Complexity of the Graph-Accessability-Problem,Kai Lebeth,22e26fd2ae6c498ba7dcd24e98974411,Conference on Learning Theory,COLT,Conference,Workshop,ArtificialIntelligence,True,COLT-Proceeding-8,FullPaper
45,9ecd9a00ec434a789b41687983a07f52,A Note on Spectral Lower Bound Arguments for Decision Trees,Esther König,80713ee07b5049ce8bb277a7c50c7ba6,IEEE Transactions on Pattern Analysis and Machine Intelligence,TPAMI,Journal,,MachineLearning,True,TPAMI-Volume-4,FullPaper
46,9a464e258348478b8cc808096447cb95,A Parametric View to the Mangasarian-Fromovitz Constraint Qualification,Sophia Knopf,02e1072b8727422498fc9d0d4247a075,Association for the Advancement of Artificial Intelligence,AAAI,Conference,RegularConference,MachineLearning,True,AAAI-Proceeding-8,ShortPaper
47,0e1f8b2b2bcf4a679619c0b4c69e14b9,A Persistent Store for Large Shared Knowledge Bases,Astrid Schmücker-Schend,6769ec54c88247238ec9055be7fc917d,IEEE Transactions on Neural Networks and Learning Systems,TNNLS,Journal,,Databases,False,,FullPaper
48,8756a7f8318144e291fd276815cca5d2,A Phase Space Model for Spatial BMAPs,Birgit Wesche,c6261094689c4ac89db31c72fa2e79d9,Association for the Advancement of Artificial Intelligence,AAAI,Conference,RegularConference,MachineLearning,False,,FullPaper
49,cb6a80c8ff2b4eb6adacce1ceecbc83c,A Piecewise-Deterministic Model for Brownian Motion,Andrea Owe,e5f8bd0cbf564851b5cb0f7c6bd8d187,Journal of Machine Learning Research,JMLR,Journal,,ArtificialIntelligence,False,,DemoPaper
50,b32f8b281dff4c2ba9a793a51d9c8066,A Polynomial Method for Finding Irregularities in Large Example Sets,Dennis M. Gorman,8f107422e2d94f72b086a38211ee291a,Conference on Learning Theory,COLT,Conference,Workshop,ArtificialIntelligence,False,,FullPaper
51,91b073453fa64cda8ebe76d327edc783,A Pre-Dual for the Convolution Algebra D'(Gamma+),Matthew J. Brown,e7e9f8a37d744600b94c7ccd307a7c59,IEEE Transactions on Neural Networks and Learning Systems,TNNLS,Journal,,Databases,False,,FullPaper
52,89224ff672834dd88cff9971d0ca306a,A Product Theorem for Markov Chains with Application to PF-Queueing Networks,Carole Federico,39c9a51cf94f4ba6918860b0879309e8,Artificial Intelligence Journal,AI,Journal,,ArtificialIntelligence,True,AI-Volume-9,DemoPaper
53,e85fe23a487c4281be40bfe9c927b559,A Professor's Moral Thinking at the Abstract Level Versus The Professor's Moral Thinking in the Real Life Situation (Consistency Problem).,Roel Snieder,0824d39fc1154968ba2b3d65d5cd8e87,Special Interest Group on Computer Graphics and Interactive Techniques Conference,SIGGRAPH,Conference,RegularConference,Databases,False,,ShortPaper
54,b409cdc7e884449ca603738a10df060d,A QQP-Minimization Method for Semidefinite and Smooth Nonconvex Programs,Shane Epting,cf41a8fc582d465d82cdf920d317a29c,Conference on Neural Information Processing Systems,NeurIPS,Conference,ExpertGroups,NaturalLanguageProcessing,True,NeurIPS-Proceeding-8,ShortPaper
55,9f57777438a04353831037a6ea121084,A Qualitative Approach to Responsible Conduct of Research (RCR) Training Development: Identification of Metacognitive Strategies.,Louise A. Dennis,0a752b70e4b146d8af8d691f180f3faf,IEEE Transactions on Pattern Analysis and Machine Intelligence,TPAMI,Journal,,MachineLearning,False,,ShortPaper
56,150fe13f06904de18ef5193ae807a0f6,A Rainbow about T-Colorings for Complete Graphs,Jessica M. Smith,c194aec089534df8bb59a6e421d3e41d,Journal of the Association for Information Science and Technology,JASIST,Journal,,MachineLearning,True,JASIST-Volume-4,ShortPaper
57,8f7f4ab04d144c789e4fa523a06bf5cc,A Reusable Lexical Database Tool for Machine Translation,Sophia Knopf,02e1072b8727422498fc9d0d4247a075,IEEE Data Science and Engineering,IEEE-DS,Journal,,ArtificialIntelligence,True,IEEE-DS-Volume-8,ShortPaper
58,35d9135d1e464bfbb7aad123ceade700,A Room with a View of Integrity and Professionalism: Personal Reflections on Teaching Responsible Conduct of Research in the Neurosciences.,Lars Lindblom,099780d5f7ef4ab09e992874edbd5b47,Conference on Neural Information Processing Systems,NeurIPS,Conference,ExpertGroups,NaturalLanguageProcessing,False,,FullPaper
59,64e6e64b37de402ba8c3e4c4f18fb133,A Shared Segment and Interprocess Communication Facility for VM/370,Mikail Gevantmakher,c81c56292c11423fafe9d75d42264d68,Association for Computational Linguistics,ACL,Conference,Workshop,NaturalLanguageProcessing,True,ACL-Proceeding-1,ShortPaper
60,0269bf18e5eb4de59c9dc296c28e8acc,A Simple Framework for Evaluating Authorial Contributions for Scientific Publications.,Siti Nurani Mohd Nor,2ddb1618106940deaec57e6de2798bc5,IEEE Data Science and Engineering,IEEE-DS,Journal,,ArtificialIntelligence,False,,ShortPaper
61,e3a3ba0a2e1141b8afc1963d87a775ff,A Social Responsibility Guide for Engineering Students and Professionals of all Faith Traditions: An Overview.,Erika Pärn,bd7b4ab829bc455989f916066a45bab9,ACM International Conference on Mobile Computing and Networking,MobiCom,Conference,RegularConference,NaturalLanguageProcessing,True,MobiCom-Proceeding-8,ShortPaper
62,8262917620334bc097f51eaa50022a15,"A Survey of Expectations About the Role of Robots in Robot-Assisted Therapy for Children with ASD: Ethical Acceptability, Trust, Sociability, Appearance, and Attachment.",Koos van der Bruggen,ab603559836044e7ae408df04d2751c5,IEEE Data Science and Engineering,IEEE-DS,Journal,,ArtificialIntelligence,True,IEEE-DS-Volume-3,ShortPaper
63,2b45089b3ae548d6bee2409ae94fe797,A Systematic Approach to Engineering Ethics Education.,Gudrun Klose,1af55137ce9b4d6ab21b7fe1299899a3,Association for Computational Linguistics,ACL,Conference,Workshop,NaturalLanguageProcessing,True,ACL-Proceeding-3,ShortPaper
64,0b9bda6f985f42f8bbb47a339a70fcf6,A Systematic Literature Review of US Engineering Ethics Interventions.,Sebastian R. Diaz,e19b1b6b43874db3b8d6ee1037a6751c,ACM International Conference on Mobile Computing and Networking,MobiCom,Conference,RegularConference,NaturalLanguageProcessing,False,,ShortPaper
65,426796cdb7da4a26b658f054fc79ab13,A Tale of Two Perspectives: Regulation Versus Self-Regulation. A Financial Reporting Approach (from Sarbanes-Oxley) for Research Ethics.,Esther König,80713ee07b5049ce8bb277a7c50c7ba6,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE-TPAMI,Journal,,NaturalLanguageProcessing,True,IEEE-TPAMI-Volume-3,FullPaper
66,44abcb07a1124d3bbd30a0632599c7f1,"A Taxonomy of Ethical, Legal and Social Implications of Wearable Robots: An Expert Perspective.",Anderson Rocha 0001,5c70418b07a34756a909c585e7d7e959,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR,Conference,RegularConference,MachineLearning,True,CVPR-Proceeding-2,ShortPaper
67,d60d44bc7cac4f6e933b7fca9db69612,A Tool Kit for Knowledge Based Production Planning Systems,Neelke Doorn,bd341b28e3694358834ceb9cb7a288dd,IEEE International Conference on Computer Communications,INFOCOM,Conference,ExpertGroups,Databases,False,,ShortPaper
68,6053f77e67f74c93967ff47ddd35c83e,A Tool for Simulation of Markov Modulated Finite-Source Queueing Systems,Stefan Böttcher,01a5934c3c5f4173835f63b0c52675ba,International Conference on Machine Learning,ICML,Conference,Workshop,Databases,True,ICML-Proceeding-10,ShortPaper
69,02c5f1e843044efd9ceeefdeca094f50,A Troubled Solution: Medical Student Struggles with Evidence and Industry Bias.,Tim Voetmann,ccf57f648c68426ab92dd0f3068ff03a,Conference on Human Factors in Computing Systems,CHI,Conference,RegularConference,Databases,False,,FullPaper
70,7bcb930413d7414697fc0fe01bc1c2d3,A Unifying Theoretical Background for Some BDD-based Data Structures,Meg Leta Jones,4d550fb3a3634fa98e78f087414b5e37,IEEE International Conference on Computer Communications,INFOCOM,Conference,ExpertGroups,Databases,False,,ShortPaper
71,2c8aea3f3a304c98936aba56128cb617,A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof,Karma Lekshe Tsomo,89698071272a4718a47f5b94cbdab0b8,Special Interest Group on Computer Graphics and Interactive Techniques Conference,SIGGRAPH,Conference,RegularConference,Databases,True,SIGGRAPH-Proceeding-3,FullPaper
72,94f273077ae94d83af35bc3fc8eff100,A new Algorithm for Solving the General Quadratic Programming Problem,Gregor Erbach,cbf3ee51b6e14e3b8b56a2e63c3f2e3f,ACM International Conference on Mobile Computing and Networking,MobiCom,Conference,RegularConference,NaturalLanguageProcessing,True,MobiCom-Proceeding-5,FullPaper
73,c18f175732b14943832a7ee6ade96f7f,AMICAI: A Method Based on Risk Analysis to Integrate Responsible Research and Innovation into the Work of Research and Innovation Practitioners.,Bernhard Beckert,30e56328e63b42eabdd8135e7ae08e2b,Conference on Human Factors in Computing Systems,CHI,Conference,RegularConference,Databases,True,CHI-Proceeding-4,FullPaper
74,6a55962f0b6c40669017103c5f82b860,Abortion of Fetus with Down's Syndrome: India Joins the Worldwide Controversy Surrounding Abortion Laws.,Ulrich Holtmann,447a7006568747aeaca4047dfef60dcc,International Journal of Computer Vision,IJCV,Journal,,NaturalLanguageProcessing,False,,ShortPaper
75,73562dc1c7c1481c88d744394b1c0d9a,Academic Integrity in a Mandatory Physics Lab: The Influence of Post-Graduate Aspirations and Grade Point Averages.,Beth A. Fischer,5761a3af463f48f4a0c37ecb0dbd2505,ACM Transactions on Information Systems,TOIS,Journal,,ArtificialIntelligence,False,,DemoPaper
76,874549957c254de38a8c826b6d322a2a,Accelerating OBDD-Minimization by Means of Structural and Semantical Properties,Bernd Sturmfels,4adf417ae4394cddab33d5f5f9b86585,International Journal of Computer Vision,IJCV,Journal,,NaturalLanguageProcessing,False,,FullPaper
77,f50880ff429a4c21a8ad6b2b3492bfb7,Acclimating International Graduate Students to Professional Engineering Ethics.,Leonidas G. Koniaris,277f9abb41af48a7bbfb19943cffa8ee,ACM Transactions on Intelligent Systems and Technology,ACM-TIST,Journal,,ArtificialIntelligence,False,,FullPaper
78,c4716ba76b2b46ceb673a320a4fb6222,Actionable Principles for Artificial Intelligence Policy: Three Pathways.,Neelke Doorn,bd341b28e3694358834ceb9cb7a288dd,Special Interest Group on Computer Graphics and Interactive Techniques Conference,SIGGRAPH,Conference,RegularConference,Databases,True,SIGGRAPH-Proceeding-7,FullPaper
79,70a0422511cd4f5aad661b7308fcaaaf,Advocacy Science: Explaining the Term with Case Studies from Biotechnology.,Kewal Krishan,0cdf3be4668149f8b4bd15a63338b6f5,Conference on Human Factors in Computing Systems,CHI,Conference,RegularConference,Databases,True,CHI-Proceeding-5,ShortPaper
80,eb5ee5b78d884b219dac5a22fc3981a0,Agrarian Philosophy and Ecological Ethics.,Ramón Queraltó,96da771fc28346eb84eeef1cb5f49877,Special Interest Group on Data Communications Conference,SIGCOMM,Conference,RegularConference,Databases,True,SIGCOMM-Proceeding-10,ShortPaper
81,54c01f8bc0f1411d8b3de0de9b5455dd,Agreeing in Ignorance: Mapping the Routinisation of Consent in ICT-Services.,Michael G. Anderson,24be91d2696a4974b984853c5fedac78,ACM Transactions on Intelligent Systems and Technology,ACM-TIST,Journal,,ArtificialIntelligence,False,,ShortPaper
82,3015eb4a02254b14bad45765a1b4e71d,Algebraical Optimization of FTA-Expressions,Ellen-Marie Forsberg,b36b68bf72af496e931c42a9271e4c6f,Association for Computational Linguistics,ACL,Conference,Workshop,NaturalLanguageProcessing,False,,FullPaper
83,d65d5eb8a752433ca11f9b09ec233118,Algorithmic Considerations for +-OBDD Reordering.,Frederik Voetmann Christiansen,77186fbc83fb449188a0990563fcb260,Journal of Machine Learning Research,JMLR,Journal,,ArtificialIntelligence,False,,DemoPaper
84,20df97eff3914425a1d66b2262dce9e3,An Adequate Reducibility Concept for Problems Defined in Terms of Ordered Binary Decision Diagrams,Ulrich Raber,541c016bbea94782872838dbaf82f73d,IEEE International Conference on Computer Communications,INFOCOM,Conference,ExpertGroups,Databases,True,INFOCOM-Proceeding-10,ShortPaper
85,21a5a616493b437995747922914e20e2,An Algebraic Characterization of STUF,Ineke Malsch,8ff9f74f8fc24a809da4588c27836be1,Journal of the American Statistical Association,JASA,Journal,,ArtificialIntelligence,True,JASA-Volume-9,FullPaper
86,7d9f903cb76748dea74c123c60e0f843,An Analysis of Medical Laboratory Technology Journals' Instructions for Authors.,Kewal Krishan,0cdf3be4668149f8b4bd15a63338b6f5,Conference on Human Factors in Computing Systems,CHI,Conference,RegularConference,Databases,False,,FullPaper
87,6cc6acad023447c0bb278da69c71f0e2,An Analysis of Student Privacy Rights in the Use of Plagiarism Detection Systems.,Ulrich Hedtstück,d5746e399a1d4268b6b78b2d1668e9b3,ACM Transactions on Information Systems,TOIS,Journal,,ArtificialIntelligence,False,,FullPaper
88,3644f170b3454de487dfab695a39bac3,An Anaphora Resolution Procedure for Machine Translation,Petra Ludewig,aeec223444ef441187c1c9e1d2613819,IEEE Transactions on Neural Networks and Learning Systems,TNNLS,Journal,,Databases,True,TNNLS-Volume-5,ShortPaper
89,907cddae50f549e18128341a79a2d794,An Approach to Manage Large Inheritance Networks,Ralf Merz,c6c2b0ab4a8a449786b078502e6608b2,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE-TPAMI,Journal,,NaturalLanguageProcessing,False,,DemoPaper
90,100a6c010f3c47d3ab8572ac57a999a3,An EM Algorithm for Batch Markovian Arrival Processes and its Comparison to a Simpler Estimation Procedure,Petr Houdek,36308eb7ab1643fab7f3667572d4680e,International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp,Conference,ExpertGroups,Databases,False,,FullPaper
91,56437d08ab8e4ce1a9d1f0002a12fd5e,An EM Algorithm for Platoon Arrival Processes in Discrete Time,Rasheed Al Kotob,4997182687d84af581f10a3ee6f14d8d,Association for the Advancement of Artificial Intelligence,AAAI,Conference,RegularConference,MachineLearning,False,,ShortPaper
92,77d88729385b4d15a37b9bb7c89d23f6,An Effective Representation of Complex Clauses in a Relational Database,Kai Lebeth,22e26fd2ae6c498ba7dcd24e98974411,Journal of the Association for Information Science and Technology,JASIST,Journal,,MachineLearning,False,,FullPaper
93,870ad504431b4461b62caf54b02bb902,An Efficient Method for Aerodynamic Shape Optimization,Diane S. Gilleland,7bc2468b9a074424b8f798ac6cf259ed,International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp,Conference,ExpertGroups,Databases,False,,ShortPaper
94,0d9af990386640d68cdaa81d2cb6b8dd,An Empirical Study on Construction Process Corruption Susceptibility: A Vignette of International Expertise.,Patricia H. Werhane,2e06b4ad1b7544c38cf391ee6dc71002,IEEE International Conference on Computer Communications,INFOCOM,Conference,ExpertGroups,Databases,True,INFOCOM-Proceeding-3,FullPaper
95,a30dabb957074f4d81925d35ea0480c5,An Environment for Experimentation with Parsing Strategies,Fabio Somenzi,4d38bfd4901e4568b51e467305a5a6cd,IEEE International Conference on Computer Communications,INFOCOM,Conference,ExpertGroups,Databases,False,,ShortPaper
