,JournalID,VolumeID,volumeYear
80,JASIST,JASIST-Volume-1,2003
81,JASIST,JASIST-Volume-2,2004
82,JASIST,JASIST-Volume-3,2005
83,JASIST,JASIST-Volume-4,2006
84,JASIST,JASIST-Volume-5,2007
85,JASIST,JASIST-Volume-6,2008
86,JASIST,JASIST-Volume-7,2009
87,JASIST,JASIST-Volume-8,2010
88,JASIST,JASIST-Volume-9,2011
89,JASIST,JASIST-Volume-10,2012
90,JML,JML-Volume-1,2003
91,JML,JML-Volume-2,2004
92,JML,JML-Volume-3,2005
93,JML,JML-Volume-4,2006
94,JML,JML-Volume-5,2007
95,JML,JML-Volume-6,2008
96,JML,JML-Volume-7,2009
97,JML,JML-Volume-8,2010
98,JML,JML-Volume-9,2011
99,JML,JML-Volume-10,2012
100,JMLR,JMLR-Volume-1,1996
101,JMLR,JMLR-Volume-2,1997
102,JMLR,JMLR-Volume-3,1998
103,JMLR,JMLR-Volume-4,1999
104,JMLR,JMLR-Volume-5,2000
105,JMLR,JMLR-Volume-6,2001
106,JMLR,JMLR-Volume-7,2002
107,JMLR,JMLR-Volume-8,2003
108,JMLR,JMLR-Volume-9,2004
109,JMLR,JMLR-Volume-10,2005
110,MLJ,MLJ-Volume-1,2003
111,MLJ,MLJ-Volume-2,2004
112,MLJ,MLJ-Volume-3,2005
113,MLJ,MLJ-Volume-4,2006
114,MLJ,MLJ-Volume-5,2007
115,MLJ,MLJ-Volume-6,2008
116,MLJ,MLJ-Volume-7,2009
117,MLJ,MLJ-Volume-8,2010
118,MLJ,MLJ-Volume-9,2011
119,MLJ,MLJ-Volume-10,2012
120,TNNLS,TNNLS-Volume-1,1998
121,TNNLS,TNNLS-Volume-2,1999
122,TNNLS,TNNLS-Volume-3,2000
123,TNNLS,TNNLS-Volume-4,2001
124,TNNLS,TNNLS-Volume-5,2002
125,TNNLS,TNNLS-Volume-6,2003
126,TNNLS,TNNLS-Volume-7,2004
127,TNNLS,TNNLS-Volume-8,2005
128,TNNLS,TNNLS-Volume-9,2006
129,TNNLS,TNNLS-Volume-10,2007
130,TOIS,TOIS-Volume-1,1996
131,TOIS,TOIS-Volume-2,1997
132,TOIS,TOIS-Volume-3,1998
133,TOIS,TOIS-Volume-4,1999
134,TOIS,TOIS-Volume-5,2000
135,TOIS,TOIS-Volume-6,2001
136,TOIS,TOIS-Volume-7,2002
137,TOIS,TOIS-Volume-8,2003
138,TOIS,TOIS-Volume-9,2004
139,TOIS,TOIS-Volume-10,2005
140,TPAMI,TPAMI-Volume-1,2005
141,TPAMI,TPAMI-Volume-2,2006
142,TPAMI,TPAMI-Volume-3,2007
143,TPAMI,TPAMI-Volume-4,2008
144,TPAMI,TPAMI-Volume-5,2009
145,TPAMI,TPAMI-Volume-6,2010
146,TPAMI,TPAMI-Volume-7,2011
147,TPAMI,TPAMI-Volume-8,2012
148,TPAMI,TPAMI-Volume-9,2013
149,TPAMI,TPAMI-Volume-10,2014
